File Name,Path,Instrument Method,Position,Inj Vol,Comment,Sample Name
20240424_UWPRLumos_TPcorals_coral47,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,F1,4,29,
20240424_UWPRLumos_TPcorals_coral48,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,F2,4,20,
20240424_UWPRLumos_TPcorals_coral49,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,F3,4,pool DDA,
20240424_UWPRLumos_TPcorals_QC10,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_blank12,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F8,3,blank,
20240424_UWPRLumos_TPcorals_coral50,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,F3,4,pool DDA,
20240424_UWPRLumos_TPcorals_coral51,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,A3,4,6 DDA,
20240424_UWPRLumos_TPcorals_coral52,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,A4,4,26 DDA,
20240424_UWPRLumos_TPcorals_coral53,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,A5,4,11 DDA,
20240424_UWPRLumos_TPcorals_blank13,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F7,3,blank2,
20240424_UWPRLumos_TPcorals_coral54,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,A6,4,34 DDA,
20240424_UWPRLumos_TPcorals_coral55,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,A7,4,1 DDA,
20240424_UWPRLumos_TPcorals_coral56,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,A8,4,31 DDA,
