"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"SymbC1.scaffold272.13",670826,438282,685249,996873,664025,497504,902686,621001,463433,475745,NA,NA,726995,NA,752515,408836,NA,1288120,535916,880481,957016,965843,1072950,1113470,898152,816510,NA,NA,NA,NA,NA,790088,706375,NA,709956,NA
"SymbC1.scaffold272.8",NA,NA,3761580,2758010,2672050,NA,3410440,1452050,NA,1646310,NA,NA,2047440,NA,3205780,NA,NA,3258810,NA,2110380,3819060,2498710,675084,3986790,1539970,3146870,NA,NA,3233340,4223410,748277,2637020,5105700,NA,1829130,1048510
"SymbC1.scaffold2720.1",2202220,NA,3525890,2579190,4076250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2696230,NA,NA,NA,3006640,1673180,2807940,NA,2879870,4069620,1837440,NA,NA,NA,2387920,NA,2374550,3630210,NA
"SymbC1.scaffold2721.1",230543,NA,816169,NA,648582,NA,NA,NA,NA,678549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916307,NA,1013740,NA,489094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2722.2",9643610,10731400,12115000,8555460,7440640,6944950,6193630,9129600,5774270,10998800,9896550,NA,9907280,465547,7859300,3776100,7685040,11902800,6412490,7239640,8787050,6527250,8804770,6588200,11851600,15303500,NA,NA,9370290,9997960,5145370,6028040,10129000,NA,7150530,6341450
"SymbC1.scaffold2724.3",NA,NA,NA,NA,203894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold273.1",563837,NA,NA,842505,NA,409433,NA,527821,NA,893452,804998,NA,378236,NA,507539,NA,208983,621553,NA,NA,511562,NA,581969,842758,NA,743403,NA,NA,691684,NA,NA,312549,646170,NA,835197,717665
"SymbC1.scaffold2730.1",3424110,6338070,10534800,5791620,6295170,3873380,4621990,4928970,1153870,8373070,9212880,10459000,1090090,3911910,4724680,3798220,5222120,4790640,6401220,2953460,2708660,6667790,2772040,8423760,3239230,9684830,11687200,5746270,2230140,2267430,NA,4886330,2108760,13875000,5546570,3221070
"SymbC1.scaffold2733.1",2786720,1594860,3224780,2891010,5437800,3264370,3124140,3905920,2379620,2776410,4226280,4634720,2067850,2549970,2532720,1134330,1148790,5543750,2172770,3235780,2790900,3645710,2321820,4914510,2553290,3671900,3129230,3091580,2068030,3575750,1487630,4851790,3152160,3694360,3705680,1660010
"SymbC1.scaffold2733.2",NA,NA,NA,539246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2735.1",12158900,8258380,18933500,6584130,24293300,10829700,12714800,17882700,5615460,8585220,14306200,7362170,6602320,3953900,9318050,6575680,7261490,17378000,8649250,8991650,7906950,9299410,12440400,17524300,10258400,7529900,7353030,5291840,4829270,9349420,6536640,13697200,9773190,10508500,9946300,8969860
"SymbC1.scaffold2738.1",947878,1194400,1858850,1476230,2326680,850875,1504050,998422,NA,1503860,1346880,NA,NA,NA,1830880,359151,802587,938086,741360,NA,1248110,1972880,596686,1818530,NA,1885820,NA,NA,NA,NA,NA,922434,976383,NA,853736,NA
"SymbC1.scaffold2741.1",NA,NA,NA,370478,NA,NA,NA,247512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2754.1",1606140,NA,1944230,2344270,1819750,853164,1806330,NA,1028240,1708430,1671510,1365920,2251510,1016000,2208150,NA,NA,3966740,NA,2447510,2444110,1870220,2160830,2593690,2378030,3007530,580027,NA,2254590,2236970,1187050,2355680,2450760,NA,NA,818273
"SymbC1.scaffold276.1",3134080,3342530,3829430,4247250,3778450,2934420,5530840,3982630,2498850,2086110,4354450,NA,4146110,NA,2574530,1474460,1410270,5186220,1554440,4266150,4006940,4034750,4047880,4108860,4776730,2695570,NA,NA,3811120,3393040,2385080,2730400,3268270,NA,3067390,3185130
"SymbC1.scaffold2764.2",874578,737331,2104970,2800000,2222530,1047060,982059,1897590,645879,1537480,NA,NA,783405,NA,1159320,716448,935918,1176820,NA,NA,1694720,940038,NA,2432660,NA,2297010,NA,NA,NA,984392,NA,1345490,1374070,NA,2125880,NA
"SymbC1.scaffold2776.1",21115700,18954600,32149200,42793200,29912300,24792300,24451700,29808700,22014600,29603400,24866800,NA,34469200,NA,28508800,13796800,18004200,29358000,19152100,34418800,34352400,29515900,24851000,48017500,33800200,34526800,NA,NA,38735200,36078500,22956200,28253300,30343100,NA,40611800,23055200
"SymbC1.scaffold2776.6",27760800,25852700,38977400,30553800,19845800,25602500,23598800,20696600,13359100,28011800,20594000,NA,20005900,NA,22616400,10217500,15388300,32100200,23401700,30852400,17321300,21137700,21396400,35364400,34518100,34555200,NA,NA,28914500,20026400,15358400,27856900,21435400,NA,17011100,21249100
"SymbC1.scaffold2776.7",NA,297276,1229170,772982,959577,547994,NA,770129,366542,817211,771175,1282980,NA,1134760,493048,NA,NA,864950,476396,NA,304568,503999,324104,NA,NA,1232580,1717170,1756840,NA,NA,NA,1034240,NA,1576210,924041,NA
"SymbC1.scaffold2781.4",2793430,2028380,3667230,3003560,2777790,2304050,2712170,3099690,2125400,2076970,NA,2672540,2349880,NA,2477730,1100140,1547680,4031930,2500380,3453510,3520490,2975020,2828370,4105570,3138300,3600530,1604490,1326220,NA,2661900,1968130,3401050,3013960,1880690,2333420,NA
"SymbC1.scaffold2788.1",NA,NA,1140170,761275,1787840,NA,638643,NA,NA,NA,NA,NA,NA,NA,NA,784801,NA,NA,NA,NA,NA,655054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538800,NA,NA
"SymbC1.scaffold279.9",NA,NA,707103,717638,726170,770317,664677,1056860,893966,666216,NA,NA,867684,NA,NA,NA,NA,1789720,NA,374377,999696,548186,434806,901893,718202,415369,NA,NA,NA,885033,670057,921732,1054220,NA,796449,861625
"SymbC1.scaffold2791.2",1535950,NA,1196190,1326650,1174840,780804,NA,NA,792052,877877,2202040,NA,NA,NA,1043960,NA,NA,2047130,NA,NA,NA,1111690,906394,1329520,NA,1476210,NA,NA,NA,NA,NA,946051,NA,NA,NA,NA
"SymbC1.scaffold2795.1",5664980,2608870,6245770,8523390,5465490,4628170,5427900,6772740,3456310,5203870,4258900,NA,4959400,NA,6040160,1450940,2294060,10272200,3022770,6492680,8118380,7182930,8022030,8553970,7884120,7484380,NA,NA,8887720,5406090,4504760,6426700,7788430,NA,6353870,5227920
"SymbC1.scaffold2797.3",538924,NA,560426,772931,509725,601753,527070,773696,749953,458173,NA,NA,756671,NA,NA,NA,NA,1338580,NA,691598,958004,551348,767736,1238270,455290,NA,NA,NA,636093,920964,502639,600595,854278,NA,590841,NA
"SymbC1.scaffold2798.1",3742280,2458940,7142930,4464500,5164340,4896140,3025150,4490540,2663170,3672850,2630640,4816350,3186020,5745810,3396690,1372400,1560430,5620110,3263950,2497050,5084760,4848710,4136680,4779450,3016680,4186200,5102570,3677850,1600510,3881960,1564180,5679610,4016630,4132940,4974720,1922300
"SymbC1.scaffold280.10",447801,692995,697294,426567,452828,239023,NA,597691,187720,422802,NA,NA,NA,NA,383496,340084,NA,517317,374767,NA,364472,416050,157052,378473,NA,781077,NA,NA,NA,NA,NA,495689,225864,NA,NA,NA
"SymbC1.scaffold282.10",NA,497507,730308,NA,864699,NA,432850,NA,NA,NA,NA,NA,NA,NA,NA,639989,344349,NA,NA,NA,NA,NA,NA,678135,NA,NA,NA,NA,NA,NA,NA,392610,NA,987919,NA,NA
"SymbC1.scaffold2820.1",731136,1401330,3141280,2112950,2245710,879520,1448120,1988380,837541,1780030,1347360,NA,861496,NA,869967,NA,NA,3307270,1243260,1556970,1212850,1742870,2311060,2359260,1366080,3087040,NA,NA,2118780,2103120,1167290,2556900,1475540,NA,2227350,NA
"SymbC1.scaffold2821.3",208962000,394809000,499945000,327608000,321549000,187869000,277206000,205872000,105473000,448840000,377932000,170795000,98257800,88441200,391230000,209769000,309829000,214343000,388505000,226046000,171282000,377208000,142675000,325333000,240546000,538189000,120419000,92795900,207975000,199484000,58227200,237667000,196352000,300618000,198143000,146586000
"SymbC1.scaffold2826.1",31456200,281719000,337088000,59896200,313261000,30058200,100028000,41783500,3461100,345933000,494547000,NA,2490480,NA,159142000,176307000,369595000,15022600,199470000,9772150,17659600,131144000,11704300,111736000,13320500,325893000,1143680,775350,7520280,13581700,1796460,61270200,15718600,1300960,81071200,17384700
"SymbC1.scaffold283.3",NA,NA,168313,138829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2836.3",458077,375401,632788,734118,612278,356953,689840,NA,NA,629756,NA,NA,NA,NA,NA,NA,NA,552118,NA,NA,NA,NA,NA,797701,NA,940307,NA,NA,NA,NA,NA,518842,NA,NA,399397,NA
"SymbC1.scaffold284.5",726072,923633,1311690,840165,1088420,601075,572037,1000750,NA,1194080,1063530,NA,NA,NA,NA,NA,704845,1105930,NA,380602,587952,979459,NA,NA,NA,1793560,NA,NA,NA,NA,NA,1123500,725012,NA,848771,NA
"SymbC1.scaffold2845.10",2050980,1324250,2654380,1749970,3218640,2012330,1554360,3084890,1822700,1517350,1695400,2380750,1487120,NA,2064290,1118100,1001900,3975850,2241760,1994290,2595770,2066630,3029740,2769230,2193190,2099260,1181940,1101600,1240800,1716850,1517860,3158360,2268150,1768990,1820880,1613760
"SymbC1.scaffold2848.2",NA,NA,268880,212683,NA,NA,NA,NA,NA,NA,NA,NA,133082,NA,NA,82822.4,NA,564056,NA,NA,NA,286876,NA,321681,NA,NA,NA,NA,NA,NA,NA,443904,NA,NA,NA,NA
"SymbC1.scaffold2849.4",NA,NA,NA,642340,NA,376067,NA,548069,462901,NA,NA,NA,727910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055600,603855,NA,NA,NA,734132,240128,NA,NA,NA,518678,NA
"SymbC1.scaffold285.4",2655640,4341170,6342750,5995080,7075680,3730650,3326340,2787820,1170400,6495420,7395180,NA,1298500,NA,3887310,1745480,2706260,4229890,4751960,2343290,2905090,4012570,1776880,8586240,2267830,6093110,5637090,5523910,3574350,2767190,1085020,4956210,3086310,8387270,3261380,1743930
"SymbC1.scaffold2850.6",545953,NA,1653800,1157430,2118540,818407,NA,1260590,NA,1044440,1097890,NA,NA,NA,870046,859756,852654,709813,NA,NA,637064,768785,NA,1773930,NA,1812680,1221930,NA,379470,NA,NA,893173,NA,1098980,1061340,NA
"SymbC1.scaffold2851.6",NA,NA,678175,708261,753949,NA,519888,NA,NA,386473,557440,NA,NA,NA,NA,601399,NA,NA,NA,NA,NA,653308,NA,812755,NA,638270,356041,NA,NA,NA,NA,NA,NA,477569,380030,NA
"SymbC1.scaffold2853.1",2008860,9006910,15223400,3163260,14789800,2635110,3506620,3140630,NA,13864200,9024630,8849180,NA,4340570,2834550,7034470,9854240,NA,4916640,NA,951945,4521210,NA,3567240,NA,7702120,8938680,5915200,NA,1225060,NA,3144820,NA,13394200,6338800,1078170
"SymbC1.scaffold2855.6",NA,NA,762586,809417,747689,321879,NA,473389,NA,1123840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2856.1",1253520,624333,1406760,1156510,1222800,1129970,1167530,1855870,1296730,787916,1018830,1835190,1671620,1656480,1438320,365178,435677,2637900,NA,1708270,2051250,1476990,1829090,1488050,1479140,1521250,1223800,842967,1482360,1282870,873896,1618370,1708450,1124380,1488770,994719
"SymbC1.scaffold2858.5",NA,1360700,2968420,2692400,2290230,1460400,1241980,2159090,NA,2728360,2038250,2799990,1089480,2909240,NA,960974,NA,1804690,1546290,1140020,2010370,1732580,1090230,3495770,1744740,4035590,1876040,2232040,1500540,2620400,985551,2704030,1474550,2589400,3775390,NA
"SymbC1.scaffold2858.6",NA,NA,NA,326824,364347,288572,269445,642249,316686,NA,NA,NA,204785,NA,NA,NA,NA,491563,NA,NA,NA,420683,326316,451784,NA,374814,NA,NA,NA,NA,NA,301286,410972,NA,NA,NA
"SymbC1.scaffold2860.4",NA,1985230,2980930,2040280,3342200,724779,1231320,1516990,NA,2344740,3778140,5227320,NA,4077580,3034570,3993800,3242000,1580580,3069430,NA,872025,1997450,NA,4100800,NA,3261880,10092600,6388650,NA,NA,NA,1862640,NA,13314300,3956700,NA
"SymbC1.scaffold2862.3",89535.5,NA,NA,117847,71962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2866.4",619452,NA,536237,449037,420731,323622,NA,660638,592040,NA,NA,NA,598680,NA,NA,NA,NA,974942,NA,387803,436438,NA,587262,999035,NA,NA,NA,NA,NA,635258,474219,692873,356415,NA,NA,NA
"SymbC1.scaffold2867.1",NA,NA,1349480,714157,470515,861587,547001,685470,556146,1183630,NA,NA,640638,NA,514803,NA,575971,1184320,511351,NA,607882,NA,964451,957299,NA,1278790,NA,NA,668351,923348,454565,900305,NA,NA,NA,761952
"SymbC1.scaffold2867.6",2630100,2453120,6014400,3090610,5137060,3788330,2288340,5028660,2410670,2940710,3297280,4913640,2281100,5429560,1337370,2161070,1859810,6336800,3519620,3157600,4347870,4104350,4383330,5658240,3631180,6463720,3639160,4560730,3454120,6547130,2224280,7282660,3374230,3232010,7482030,3694410
"SymbC1.scaffold2874.7;SymbC1.scaffold5832.2",NA,NA,758036,NA,515453,NA,368330,NA,NA,NA,NA,NA,NA,NA,467170,NA,NA,958668,NA,NA,NA,623577,375416,NA,NA,NA,558205,301844,NA,NA,NA,622141,NA,772875,NA,NA
"SymbC1.scaffold2876.2",NA,NA,NA,NA,147491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2878.1",NA,1650230,855417,NA,879962,NA,NA,NA,NA,877577,NA,NA,NA,NA,NA,NA,909407,NA,NA,NA,NA,NA,NA,NA,NA,826136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold288.4",103156,NA,NA,228226,118398,109671,78684.5,98668.6,101929,NA,NA,NA,NA,NA,100316,NA,NA,NA,NA,NA,NA,NA,136130,NA,NA,NA,NA,NA,NA,NA,NA,135472,155927,NA,NA,NA
"SymbC1.scaffold2891.2",3542770,3402180,3951810,5296280,2568490,3410080,3765150,3522820,2676620,4129610,5918510,NA,2206630,NA,3982520,1623210,2334950,5889680,3182500,4578870,3338680,3944530,4750480,6060300,4675530,4813100,NA,NA,5496200,2851140,2873840,3655790,3077620,NA,2013800,3770050
"SymbC1.scaffold2898.2",239932,302986,240709,NA,131377,299955,303048,NA,NA,382201,NA,NA,393350,NA,335096,NA,NA,525623,NA,NA,NA,349564,306550,565139,NA,602778,NA,NA,NA,353609,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2901.3",14871700,7632470,14285900,10182600,10626700,12353700,11721700,9494840,6946190,10719800,14909300,NA,NA,NA,3518490,6770480,8753480,5835140,6625490,NA,10721900,7880600,7798420,6516630,NA,7731820,NA,NA,NA,NA,NA,9513560,10673400,NA,6204530,NA
"SymbC1.scaffold2901.5",NA,5640930,7732610,999819,7117430,874830,2014770,1381160,NA,5765820,9572580,NA,NA,NA,1846940,4089320,7428100,NA,4689100,NA,NA,1770090,NA,3433480,NA,4691910,NA,NA,NA,NA,NA,1371080,NA,NA,4340610,NA
"SymbC1.scaffold291.11",18545100,13824900,24742600,21633600,23395500,18303200,19759000,16234300,10871000,20923200,11744700,2801460,8658840,2405710,14677700,6529930,8956370,24971800,13815200,15178900,15855200,21670700,16216600,17593700,15680900,17526700,1959720,2050290,13371300,13916700,5314770,21682700,15402300,2351030,9497030,9279640
"SymbC1.scaffold291.12",3205660,2310680,3945060,3449340,3080690,2649100,2390980,3299990,1672970,2706790,2594080,2729710,1777630,2470410,2745080,1491370,1754170,4016400,2282510,2128410,3153400,3029780,2564120,5005500,2752750,4272490,2543100,1761970,1998670,1928260,1408380,3609390,2854420,2205300,3249600,1837660
"SymbC1.scaffold2911.1",340129,NA,291863,622174,402032,417152,NA,500068,509372,347009,262216,NA,NA,362992,NA,223222,NA,731584,NA,NA,392923,403649,NA,341552,428275,692900,403957,NA,610354,NA,273054,447426,252775,293593,390188,NA
"SymbC1.scaffold2913.4",2517950,782529,4060240,6045150,2497920,1373420,NA,1723140,1545060,1569120,NA,NA,NA,NA,NA,NA,NA,1133170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2914.1",1308600,1133720,1626320,2250570,1410670,1170510,1213390,1770420,994866,1561970,2853030,NA,1621920,NA,995854,416322,1016790,3033520,779783,1464180,1299490,1461900,1731620,2002980,1811290,2460590,NA,NA,1590080,1340660,859510,1776750,1793750,NA,1474250,3646310
"SymbC1.scaffold2918.1",1109430,1553590,3028840,1777000,2664420,1074060,863708,1305250,NA,2209890,1641150,NA,NA,NA,1145140,1302950,1864920,929003,1671410,NA,NA,1264330,550712,2544670,NA,2531350,NA,NA,728891,626053,NA,1399630,NA,NA,2013990,NA
"SymbC1.scaffold2919.2",NA,NA,NA,414456,NA,NA,NA,309776,NA,NA,NA,NA,NA,NA,NA,NA,NA,407322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340724,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2922.1",1058770,824648,1304650,1414310,1017660,1136010,1323250,1016570,586868,1148500,729102,NA,578936,NA,1290410,372127,493767,1516120,604646,1364260,1142600,1664250,1175290,1230930,1025620,1477770,NA,NA,1195670,547505,552574,1350650,1167410,NA,922826,NA
"SymbC1.scaffold2924.5",620174,1898270,2868240,1959520,2355990,NA,NA,1039900,NA,2112090,2147980,NA,NA,NA,1125640,1833950,2489390,985430,2015550,NA,583169,1558130,722997,2325500,696810,2366980,690386,NA,NA,NA,NA,1502550,NA,728246,1561040,941080
"SymbC1.scaffold2924.6",921947,1148540,2499150,2440940,2362460,1548180,898247,1088900,421705,2308680,3020620,NA,NA,NA,488720,956255,1549780,1509910,841377,NA,1020220,1624150,NA,1592540,NA,1637930,456893,579161,727074,NA,1025770,711925,1053200,953323,841671,NA
"SymbC1.scaffold2945.3",NA,NA,NA,462603,259502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415059,NA,NA,394205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211658,NA,237532,NA
"SymbC1.scaffold2948.1",1827830,865298,1676680,1777910,1212290,1297200,1366250,1230250,1170080,1380930,666862,3410730,1059630,1765280,1571720,602063,828205,2016010,835511,2353540,1412810,1964420,1164570,1824620,1425960,1914580,2419900,2125540,1910980,1161330,1251000,1952320,2075440,2386850,1474710,801928
"SymbC1.scaffold2961.2",1029160,NA,758420,862835,498580,522258,616766,396932,219659,367585,NA,NA,NA,NA,290631,NA,NA,435510,NA,542638,338272,393205,721154,545850,NA,349691,NA,NA,575275,NA,NA,561577,780243,NA,NA,NA
"SymbC1.scaffold2962.5",NA,NA,NA,NA,1209630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2966.4",966143,1600310,2011540,1583450,1969050,991761,854089,1231680,383553,1776210,NA,NA,NA,769306,1693280,1102770,1284620,843680,1855350,NA,1707400,1683470,NA,NA,NA,1810260,1202760,979442,511197,NA,NA,1291870,1181400,1271550,1509360,NA
"SymbC1.scaffold2968.4",603581,617508,1017880,652115,800052,478924,438298,690732,NA,975355,684503,NA,NA,NA,810402,NA,601513,707210,492415,NA,NA,579846,849101,834705,NA,915663,NA,NA,404923,490715,NA,668097,506977,NA,631484,NA
"SymbC1.scaffold2977.1",1222430,789248,2212080,1260310,1909350,1017440,1475410,1495480,576168,2275230,1859230,945978,NA,1057930,2120950,551175,892034,2036650,1092450,NA,1939650,2144090,1592550,1743380,1680350,2527520,1436660,1080570,NA,NA,NA,1754510,1584720,1381940,1604080,NA
"SymbC1.scaffold2977.4",NA,426910,1055380,963345,636523,NA,1526690,420390,418115,590111,1771250,NA,837989,NA,NA,NA,NA,1376840,NA,656471,846475,765344,856132,853992,894051,923591,NA,NA,1019480,846809,1098100,717828,793663,NA,517265,NA
"SymbC1.scaffold2978.3",NA,1205450,2537560,NA,2138490,NA,NA,NA,NA,1517400,2378900,1637320,NA,NA,NA,1201890,1937240,NA,1267810,NA,NA,NA,NA,1711330,NA,1446460,2940280,NA,NA,NA,NA,NA,NA,2325630,888032,NA
"SymbC1.scaffold2988.2",484666,NA,NA,NA,NA,147121,NA,261314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377859,NA,NA,NA,NA,274431,662870,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2991.5",395861,NA,524797,599932,NA,326857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431522,NA,NA,NA,NA
"SymbC1.scaffold2995.5;SymbC1.scaffold4516.5",3378970,3861890,7490050,7252900,5777190,3552650,4011730,4874490,2451500,4555280,3670760,3960220,2602530,4963800,3596300,2278530,3162680,7646180,3249070,3885920,5121240,5472340,3383040,5811740,4459450,7039080,5879140,5094980,4565120,5174520,2517000,5560970,4751490,4738150,4893840,2220640
"SymbC1.scaffold2998.4",NA,NA,132082,96999.9,124981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold2999.1",NA,421464,941038,NA,1180790,NA,NA,NA,NA,445675,1353680,NA,NA,NA,NA,376993,741363,NA,611201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756515,NA,NA,869925,NA
"SymbC1.scaffold3000.1",NA,2452590,NA,1349190,1991550,NA,NA,3627510,NA,3314210,NA,NA,2318080,NA,2870680,704977,2023730,4588750,NA,NA,2952040,2601820,3524720,2887090,2865590,3562840,NA,NA,NA,2397640,1338480,2178340,2913930,NA,2194730,NA
"SymbC1.scaffold3006.11",2746860,4863560,8373370,7937940,4745240,4081280,4659070,7863730,1703440,7730580,6778740,9561880,1730180,5304410,4294760,3023450,4815600,4963670,3743280,2121950,2957540,6631940,3249810,8497950,3961330,7167100,9429740,6236190,2750550,3052220,2021380,4394570,3467430,7349540,5762450,3073340
"SymbC1.scaffold3006.9",NA,825431,1044670,809765,798255,NA,NA,NA,NA,1012110,NA,NA,NA,NA,NA,NA,NA,695135,NA,NA,NA,NA,NA,815626,NA,1551490,590935,NA,NA,NA,NA,NA,NA,1757510,NA,NA
"SymbC1.scaffold3008.1",7742960,13893700,20706700,16881200,19606900,8022550,13923600,11990500,2998730,22439600,16565300,NA,3900190,NA,17019500,5405000,9303640,13198100,13578300,8840450,7714840,16053700,6266790,21763400,8876480,29521900,5721850,NA,9151380,10357700,3627390,15305700,10069900,13019900,12739600,8187960
"SymbC1.scaffold3008.2;SymbC1.scaffold7192.2",1800710,4050220,8873650,4390250,4114560,3530080,3704950,3658000,720634,7803020,5643840,NA,NA,NA,3964140,1715110,2570310,4539020,5360600,1463750,1977400,3468960,1744020,9807480,NA,8596530,NA,NA,2765560,1386550,NA,4580410,NA,NA,NA,1196320
"SymbC1.scaffold3018.3",NA,NA,NA,876304,788795,NA,398237,596488,NA,911690,NA,NA,NA,NA,NA,465080,604629,434276,NA,NA,NA,1475800,NA,996628,NA,564628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold3021.4",8574630,9889600,16640700,11059500,15705700,7798930,9531820,12477000,6036300,9172390,14105200,12446800,9352390,9888040,10475900,6551770,10000400,16098200,9547660,15119000,13194000,12713800,11447200,16982200,11750100,19480700,13876800,8486640,14345900,10404300,7247310,13246100,9438990,11326600,13852700,8897680
"SymbC1.scaffold3034.6",3769890,2214750,4090270,4895690,4029160,2621700,3540810,3810730,2415070,3555090,3620830,NA,3442670,NA,4251800,715409,1463670,6716710,1909180,3981870,4266220,3596660,3780540,4668140,4310090,4726250,NA,NA,5073170,3466730,4021160,4073480,5353350,NA,3026160,3102800
"SymbC1.scaffold3034.7",432191,NA,1320400,1165960,919124,755553,548677,1089260,NA,845673,1611370,NA,612751,791488,NA,873653,1381090,952940,1292660,674538,NA,858608,530756,1022900,NA,836068,1782160,722358,748721,736266,NA,712061,822595,1986540,874226,NA
"SymbC1.scaffold304.12",NA,1412670,2096190,608868,1679250,318070,517453,419729,NA,1240550,1252910,NA,NA,NA,601347,1313970,1166390,NA,963201,NA,NA,636443,NA,626265,NA,768926,1052430,NA,NA,NA,NA,489723,NA,2020880,978415,NA
"SymbC1.scaffold3049.2",2358670,4414600,5719710,3027370,3986170,1274290,NA,NA,NA,4450100,6405530,NA,NA,NA,NA,1865410,5629340,NA,2838190,NA,NA,NA,NA,NA,NA,2811890,NA,NA,NA,NA,NA,682987,NA,NA,NA,NA
"SymbC1.scaffold305.11",1648650,790540,1848940,1583980,1579700,1478630,1831840,1805230,1228430,1757070,1255790,NA,981739,NA,1551220,513146,NA,2552210,1290100,1648510,1728220,2025000,1790690,2130390,1598000,2218740,NA,NA,1366510,971459,751841,2455490,1557580,NA,1071090,NA
"SymbC1.scaffold3054.2",2131880,1523240,2776460,3318700,2433440,1987460,2148050,2506690,1677880,2291060,NA,NA,1845380,NA,1983790,524287,986290,3098480,1193190,NA,2457410,2860930,1735070,2226700,1551400,2725900,465667,NA,2429640,1600230,1817490,2340340,2265260,NA,1651390,1626400
"SymbC1.scaffold3054.3",NA,NA,NA,351827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold3057.1",274762,NA,597424,410600,926427,293222,225584,440061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold306.1",733713,NA,1844590,1132300,1884510,970376,1206340,1384340,239067,997895,2199300,NA,NA,NA,NA,572039,396284,1043150,670137,NA,537353,624507,798024,2571720,NA,701961,NA,NA,1244980,NA,663196,1090870,1365640,NA,1382890,NA
"SymbC1.scaffold3067.6",1312580,NA,1623180,1452020,1339630,NA,1006040,NA,NA,1875800,1266750,NA,863945,NA,1636750,509723,660173,2058640,1419260,1576410,1198820,1640210,890509,2212190,NA,3132050,NA,NA,1677340,NA,677070,1769770,959019,NA,1472680,604766
