"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.g35376.t1",18671800,60949600,70889800,53248600,64903300,21298800,69787500,38646000,11162100,63116800,100295000,57877700,14880600,29107400,39685000,19175500,20276200,26115100,42461100,32583200,22856200,38092800,19067400,79418300,24260400,61451600,61601300,81279200,50144300,44162400,22462400,18012100,19264800,32394600,33415800,47048600
"Montipora_capitata_HIv3___RNAseq.g35378.t1",NA,9533260,NA,3038240,NA,2515530,6565880,1873670,NA,6499280,2698290,NA,NA,NA,1469820,5601380,5856090,1609930,11791100,NA,NA,2022760,NA,NA,NA,3444400,NA,NA,NA,NA,NA,1096400,NA,1961180,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35385.t1",11933000,25295500,2292110,5865990,1455440,3157280,6462820,7052140,2893370,9711800,12503600,23865000,2918570,6016830,1729980,7783290,11368500,5140770,5225790,11728200,4754190,17689800,16227400,7022840,15722800,12610300,12322200,11957700,20280500,6094830,749626,NA,5299460,20992800,12155300,29877400
"Montipora_capitata_HIv3___RNAseq.g35391.t1",NA,NA,NA,251342,185799,172731,NA,252661,NA,277194,NA,NA,NA,NA,NA,206050,236699,NA,NA,NA,NA,228980,NA,NA,NA,NA,343371,276609,NA,NA,NA,NA,NA,247623,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35395.t1",375689,NA,NA,NA,459449,420049,440150,NA,NA,NA,NA,388980,NA,296921,NA,NA,NA,NA,NA,NA,NA,349928,NA,NA,NA,NA,NA,NA,NA,NA,NA,460096,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35399.t1",16465400,13072000,8109180,10441300,8319520,8662800,10740100,8366780,9447120,9062520,8584280,20228000,11540600,18125800,13390300,10560400,10933600,7346800,8875420,11569900,13115500,11765900,13922300,11357100,10582100,11399700,27585000,20660100,12667200,11361600,9666790,8271340,9912930,10645100,18929000,12371600
"Montipora_capitata_HIv3___RNAseq.g354.t1",NA,929247,785927,NA,1622340,NA,NA,NA,NA,603312,NA,NA,NA,NA,NA,1215420,1706910,NA,NA,NA,NA,440219,NA,NA,NA,NA,1119080,481091,NA,NA,NA,NA,NA,1443710,878450,NA
"Montipora_capitata_HIv3___RNAseq.g35413.t1",2174860,2837240,2392470,3205330,2653550,1902090,1934390,2588930,1892990,2462150,1677350,1946260,2034880,1291640,1838850,3096470,3188220,2408080,3431560,1724140,1127570,2082510,1912570,2968080,1636030,2322430,3357750,1967720,2443300,1306730,1288220,2481850,1615980,3473220,2820070,1568470
"Montipora_capitata_HIv3___RNAseq.g35415.t1",2040340,9946550,4456750,4916640,2914140,2202830,3440770,2844140,988455,6468650,3874400,5106360,757600,2145320,4116150,16958900,20141800,1419160,6563920,1620470,1965770,2972030,1936090,1184040,1704750,3414860,8310130,10894800,2242700,2073900,828446,1966930,1891260,6719200,3512030,4282850
"Montipora_capitata_HIv3___RNAseq.g35417.t1",2624310,1169900,2339950,2417310,2028130,3508480,2008830,2147960,3576900,2690750,1804520,4548120,3690420,2964150,2494540,2389110,2744970,2083800,1646280,2258430,2492720,2650370,2130510,1997340,2647260,2554440,2039420,2507410,2421990,4281330,4473970,3067890,2456450,2129680,NA,2819550
"Montipora_capitata_HIv3___RNAseq.g35418.t1",1587780,1580680,1930360,1906840,1581550,2983730,2065460,1861540,1998060,2210820,NA,1995530,1488370,2306740,1889390,1213110,1193400,1972010,1961370,1099750,1993610,2334910,1282710,1816150,1334710,1236370,1120570,1284590,963677,880185,1459550,1900060,1417120,1595790,1041850,NA
"Montipora_capitata_HIv3___RNAseq.g35419.t1",1389850,2004240,1843760,1860900,2388240,3406640,2808250,1400910,2293710,1996990,2825760,2976480,1488950,2368650,1996740,2309980,2982750,1795480,1746170,933642,2168890,2213220,1408940,2644790,1129790,1718950,1769800,1202870,1305310,1301240,1844190,2820300,1330330,3082820,1336420,1956250
"Montipora_capitata_HIv3___RNAseq.g35422.t1",835600,1499450,1068040,440975,NA,1178490,679482,NA,NA,1716040,1370260,1085790,NA,730573,NA,NA,1202270,NA,NA,962127,NA,NA,946116,NA,929097,1801350,529207,NA,1569050,NA,NA,684935,NA,803222,1196660,NA
"Montipora_capitata_HIv3___RNAseq.g35423.t1",NA,641666,796500,NA,NA,NA,NA,NA,NA,692140,NA,NA,NA,NA,758171,1196150,727205,NA,1296910,NA,NA,NA,NA,NA,NA,650022,NA,NA,NA,NA,NA,NA,NA,1176920,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35428.t1",2791600,1314550,701956,1477560,1195420,2153050,1084180,1389620,2030200,592420,NA,NA,NA,1370970,2094300,1730410,1015340,1501770,1066170,NA,1360970,1701790,2777860,NA,NA,NA,1394070,1583870,1915070,NA,1509690,1862280,1724530,800286,3044490,2175260
"Montipora_capitata_HIv3___RNAseq.g35429.t1",9720630,8562810,9912180,15663000,9876640,13434100,25174000,10266800,9716390,11898800,24393500,22587100,14045400,17563400,13539900,8188710,9182890,13597800,8723860,13515300,11869000,11574000,14105300,18294400,12415400,14243800,17716500,23904300,10689200,23166800,34898100,11464400,13178800,6879910,19812800,13830600
"Montipora_capitata_HIv3___RNAseq.g35430.t1",7108510,4462190,4038740,6279410,3616980,5233540,4795010,6411350,5515230,4110380,3923930,5931870,8008480,7451910,5332450,4917460,4723690,6236340,4506010,7222940,7053340,4568250,6266220,6004450,6072010,5372010,6535430,6485180,5954790,6881380,5847280,5277900,5116580,3859100,7592100,6071410
"Montipora_capitata_HIv3___RNAseq.g35433.t1",737914,818611,NA,838735,449792,958260,690181,1059940,984904,834943,NA,1021550,791215,911125,786334,NA,NA,814392,337796,NA,884836,NA,708578,888570,933714,438911,583134,656032,746512,1070790,611508,1102020,1046070,497908,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35437.t1",911542,NA,NA,NA,NA,844728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375103,NA,NA,NA,NA,NA,NA,NA,NA,NA,472344,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35448.t1b",4444280,1952410,2359440,3000720,1316030,2715470,NA,3299450,3067710,929540,2090740,1842290,3786210,1405660,NA,1044450,1021300,1923870,1971710,3292810,NA,1716700,2005250,1666120,2490440,2622620,1445870,2036210,3958070,3318340,3285860,3705560,2225860,1097260,3288020,4352060
